country,director,genre,title,year
",Германия,,Украина,,Россия",,"военная,,драма,боевик",4 дня в мае,2011
",Великобритания",,"документальный,,,музыкальный",4 американских композитора,1983
",США",,"драма,,,исторический,,,военный",55 дней в Пекине,1963
",США",,Драма,50 таблеток,2006
",США",,романтическая комедия,50 первых поцелуев,2004
",Индия",,"комедия,/,драма",3 идиота,2009
",Россия",,документальный фильм,55,2007
",США",,"фантастика,фильм ужасов",51,2011
",Новая Зеландия",,драма,50 оттенков голубого,2005
",Франция,,Великобритания",,"драма,семейный,Музыка к фильму",2+1,2016
",США,,Япония",,"фэнтези,боевик,драма",47 ронинов,2013
",США",,"комедия,мюзикл,мелодрама",42-я улица,1933
",Азербайджан",,драма,40-я дверь,2009
",США",,"байопик,драма,боевик",2pac: Легенда,2017
",Великобритания",,драма,45 лет,2015
",Россия",,"детектив,/,триллер",40,2007
",США",,драма,45-й калибр,2006
США,,"боевик, драма, криминал.",44 минуты: Бойня в северном Голливуде,2003
США,,кинокомедия,40 дней и 40 ночей,2002
",Венгрия",,"исторический фильм, военный, экранизация",39-я бригада,1959
",Россия",,"комедия,,,фантастика",32 декабря,2004
",Мексика,,Испания",,"ужасы,,,мистика",31-й километр,2006
",США",,Фильм ужасов,31,2016
",Россия",,"комедия,мелодрама",30 свиданий,2016
",СССР",,"музыкальный фильм,(,мюзикл,),,фэнтези",31 июня,1978
",США",,"комедийный,,фильм ужасов",30 ночей паранормального явления с одержимой девушкой с татуировкой дракона,2012
